date,station,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
2009-03-31,Admiralty,0,na,na,na,27.7,32.1,25.1,6.1,26.6
2009-04-01,Admiralty,0,na,na,na,28.1,32.6,25.1,8.3,32.4
2009-04-02,Admiralty,0,na,na,na,28.6,33.1,25.8,8.3,33.8
2009-04-03,Admiralty,0,na,na,na,28.7,33.2,25.8,10.1,31.3
2009-04-04,Admiralty,0.6,na,na,na,28.6,32.1,26.1,8.8,32
2009-04-05,Admiralty,15.2,na,na,na,26.4,30.8,24.7,5.7,38.5
2009-04-06,Admiralty,1.2,na,na,na,26.8,31.3,25,5.4,34.6
2009-04-07,Admiralty,0,na,na,na,27.3,30.9,24.9,4.5,19.4
2009-04-08,Admiralty,0.2,na,na,na,28.6,32,25.1,9.4,34.6
2009-04-09,Admiralty,0.2,na,na,na,27.6,30.9,26.1,8,32
2009-04-10,Admiralty,33.4,na,na,na,26.7,32.2,23.9,6.4,37.1
2009-04-11,Admiralty,16,na,na,na,26.7,34.1,24.3,5.4,33.5
2009-04-12,Admiralty,8,na,na,na,26.2,28.3,23.9,6,25.2
2009-04-13,Admiralty,0,na,na,na,27,32.4,23.7,5.6,37.8
2009-04-14,Admiralty,0,na,na,na,28.9,34.4,25.3,6,27.4
2009-04-15,Admiralty,21.2,na,na,na,27.5,29.2,24.1,8.2,39.2
2009-04-16,Admiralty,0,na,na,na,27.7,29.8,25.8,5.5,25.9
2009-04-17,Admiralty,0,na,na,na,29.5,34.6,25.8,6.1,24.1
2009-04-18,Admiralty,0,na,na,na,29.9,35.1,26.4,6.8,27
2009-04-19,Admiralty,0,na,na,na,29.1,34.2,25.8,6.5,27.4
2009-04-20,Admiralty,10.8,na,na,na,28.1,30.5,25.5,9.3,36
2009-04-21,Admiralty,0,na,na,na,28.5,32.2,24.5,10.3,41.4
2009-04-22,Admiralty,6.6,na,na,na,29.5,32.6,24.3,12.1,77.8
2009-04-23,Admiralty,0,na,na,na,29,33.2,23.9,11.2,43.6
2009-04-24,Admiralty,0,na,na,na,29.5,32.6,26.3,10.4,38.2
2009-04-25,Admiralty,0,na,na,na,30.1,33.2,27.7,6.3,32
2009-04-26,Admiralty,5.8,na,na,na,27.6,33,23.8,6.6,52.9
2009-04-27,Admiralty,0,na,na,na,29.4,34.7,25.2,4.9,23.4
2009-04-28,Admiralty,16.8,na,na,na,26.7,30.3,24.8,6.1,40.3
2009-04-29,Admiralty,1,na,na,na,28.3,33.4,24.7,5.3,41
2009-04-30,Admiralty,11.8,na,na,na,27,29,23.7,7.4,32.8
2009-05-01,Admiralty,0,na,na,na,28.7,33.5,25.8,7.4,28.4
2009-05-02,Admiralty,15.8,na,na,na,28.3,31.2,26.1,9.3,32.8
2009-05-03,Admiralty,3.6,na,na,na,28.1,31.2,23,12.1,62.6
2009-05-04,Admiralty,2.2,na,na,na,27.6,29.9,25.1,10,37.8
2009-05-05,Admiralty,16.8,na,na,na,29,31.8,26.2,8.1,34.2
2009-05-06,Admiralty,1.2,na,na,na,28,31,21.8,9.7,59.8
2009-05-07,Admiralty,0,na,na,na,29.2,32.7,25,9.3,37.1
2009-05-08,Admiralty,5.6,na,na,na,29.1,32.5,24.8,6.1,33.8
2009-05-09,Admiralty,0.2,na,na,na,28.2,31.5,24.2,8.7,47.5
2009-05-10,Admiralty,2.8,na,na,na,28.8,32.8,26,6,29.5
2009-05-11,Admiralty,0,na,na,na,27.1,32.5,24.9,6.3,27.4
2009-05-12,Admiralty,0,na,na,na,28.2,31.1,25,6.8,25.9
2009-05-13,Admiralty,1.2,na,na,na,29,32.9,26.2,9.6,32
2009-05-14,Admiralty,0.2,na,na,na,28.5,32.3,24.5,7.7,36
2009-05-15,Admiralty,39.6,na,na,na,27.8,34,24.1,5.6,34.2
2009-05-16,Admiralty,0.2,na,na,na,27.6,33.7,25.7,5.5,34.2
2009-05-17,Admiralty,0,na,na,na,29,33.6,25,6.8,25.6
2009-05-18,Admiralty,2,na,na,na,26.5,29.5,24.5,5.5,35.6
2009-05-19,Admiralty,0,na,na,na,28.8,33.6,25.3,5.7,23
2009-05-20,Admiralty,0,na,na,na,29.5,33.4,26.3,6.8,25.2
2009-05-21,Admiralty,62.8,na,na,na,28.5,33.1,24.3,7.2,45.4
2009-05-22,Admiralty,0,na,na,na,29.5,34.2,25.2,5.6,27.7
2009-05-23,Admiralty,25.6,na,na,na,27.8,32.7,24.1,7.4,38.2
2009-05-24,Admiralty,0,na,na,na,29.3,34.2,25.5,6.6,25.2
2009-05-25,Admiralty,0,na,na,na,30,34.7,26.4,7.5,31
2009-05-26,Admiralty,22.6,na,na,na,27.1,31,24.5,7.5,65.9
2009-05-27,Admiralty,0,na,na,na,29,33.1,25.6,5.3,21.2
2009-05-28,Admiralty,0.8,na,na,na,28.8,33.1,27,7.2,44.3
2009-05-29,Admiralty,0,na,na,na,28.5,33.5,26,6.4,28.4
2009-05-30,Admiralty,2.4,na,na,na,28.3,32.4,23.9,7.8,55.8
2009-05-31,Admiralty,0,na,na,na,29.2,33.6,25.9,9.5,33.5
2009-06-01,Admiralty,0,na,na,na,29.9,34.2,26.5,7.8,23
2009-06-02,Admiralty,0.8,na,na,na,30.4,34.6,27.8,6.1,24.1
2009-06-03,Admiralty,3.2,na,na,na,28.2,31,24.3,7.8,38.9
2009-06-04,Admiralty,0,na,na,na,28.4,31.8,24.8,7.2,43.9
2009-06-05,Admiralty,0,na,na,na,30.2,33.8,27.8,7.1,30.6
2009-06-06,Admiralty,0,na,na,na,30.3,34.2,27.8,5.9,23.8
2009-06-07,Admiralty,13.4,na,na,na,27.6,32.4,24.7,5.6,55.1
2009-06-08,Admiralty,0,na,na,na,29.1,33,25.6,6,29.2
2009-06-09,Admiralty,0,na,na,na,30.1,33.7,27.6,5.1,23.8
2009-06-10,Admiralty,0,na,na,na,30.6,34.6,27.8,6.2,23
2009-06-11,Admiralty,0,na,na,na,30.1,34.7,26.6,7.1,27
2009-06-12,Admiralty,1.8,na,na,na,28.6,34.3,25.9,7,40.3
2009-06-13,Admiralty,16.6,na,na,na,27.6,31.6,23.7,6.5,41.4
2009-06-14,Admiralty,0,na,na,na,28.4,32.4,24.8,5.6,28.1
2009-06-15,Admiralty,0,na,na,na,28.6,31.6,26.1,7.2,37.8
2009-06-16,Admiralty,0,na,na,na,28.8,31.3,26.8,6.5,28.8
2009-06-17,Admiralty,0,na,na,na,30.3,33.9,27.9,6.6,26.3
2009-06-18,Admiralty,0,na,na,na,30.2,34.2,27,7,29.9
2009-06-19,Admiralty,0,na,na,na,29.8,32.9,27.7,6.3,32.4
2009-06-20,Admiralty,9.6,na,na,na,29.3,33.7,25,6.5,45.7
2009-06-21,Admiralty,11,na,na,na,28.4,33.2,25.8,5.1,27
2009-06-22,Admiralty,0.2,na,na,na,28.4,31.8,25.6,5.2,21.6
2009-06-23,Admiralty,21.6,na,na,na,27.8,32.4,25.6,5.2,28.1
2009-06-24,Admiralty,2.4,na,na,na,26.1,27.7,25.2,7.5,36.7
2009-06-25,Admiralty,0,na,na,na,28.8,33.2,25,6.8,21.2
2009-06-26,Admiralty,0,na,na,na,28.8,34.1,25.9,5.4,28.1
2009-06-27,Admiralty,0,na,na,na,27.8,32.3,24.7,5.9,37.8
2009-06-28,Admiralty,10.6,na,na,na,28.2,32.1,25.6,4.8,34.2
2009-06-29,Admiralty,0.8,na,na,na,27.5,32.2,24.4,7.3,30.2
2009-06-30,Admiralty,0,na,na,na,28.6,33.2,24.5,6.8,27.7
2009-07-01,Admiralty,6.8,na,na,na,28.3,32.4,25.8,5.7,32
2009-07-02,Admiralty,11.6,na,na,na,27.1,32,23.9,5.3,56.9
2009-07-03,Admiralty,0,na,na,na,28.7,32.9,24.7,5.4,30.6
2009-07-04,Admiralty,0,na,na,na,29.5,33.7,27.2,7.8,44.3
2009-07-05,Admiralty,29.8,na,na,na,26.6,31.6,23.4,7.4,34.9
2009-07-06,Admiralty,0,na,na,na,26.4,30.1,23.8,6.4,35.3
2009-07-07,Admiralty,1.4,na,na,na,27.1,31.4,24.6,4.8,36.4
2009-07-08,Admiralty,0.6,na,na,na,27.2,32.3,24.4,5.3,36
2009-07-09,Admiralty,3.4,na,na,na,27.6,33.6,25.5,4.8,26.3
2009-07-10,Admiralty,8,na,na,na,27,31.8,24.7,5.9,40
2009-07-11,Admiralty,0,na,na,na,27.3,31,25,10.2,47.5
2009-07-12,Admiralty,0,na,na,na,27.5,30.4,24.4,10.9,45.7
2009-07-13,Admiralty,0,na,na,na,28.9,32.1,26.4,7.4,35.6
2009-07-14,Admiralty,4.6,na,na,na,28.9,31.9,26.9,6.9,27
2009-07-15,Admiralty,0.8,na,na,na,27.3,30.2,22.5,5.7,50.4
2009-07-16,Admiralty,0,na,na,na,29,31.6,27,6.8,34.9
2009-07-17,Admiralty,0,na,na,na,29.3,32.1,27.6,6.3,31
2009-07-18,Admiralty,0.8,na,na,na,28.9,32.5,27.4,5.8,27.4
2009-07-19,Admiralty,1.2,na,na,na,28.2,31.6,26,6.3,32.8
2009-07-20,Admiralty,0,na,na,na,29.5,33.7,26.7,5.6,26.3
2009-07-21,Admiralty,2,na,na,na,29.8,33.5,27.5,7.5,28.8
2009-07-22,Admiralty,18.6,na,na,na,26.6,29.1,22.5,6.5,50
2009-07-23,Admiralty,4,na,na,na,29,32.9,25.3,6.1,29.9
2009-07-24,Admiralty,0.2,na,na,na,27.2,29.2,23.8,6.7,47.5
2009-07-25,Admiralty,0,na,na,na,28.9,32.2,26,5.6,25.9
2009-07-26,Admiralty,0,na,na,na,28.3,31.9,24.1,8.6,45.7
2009-07-27,Admiralty,9.2,na,na,na,26.5,30.4,22.6,7.1,59.4
2009-07-28,Admiralty,0,na,na,na,28,33.1,23.4,6.7,33.1
2009-07-29,Admiralty,0,na,na,na,29,32.3,26.8,7.1,33.1
2009-07-30,Admiralty,0,na,na,na,28.5,32.2,24.9,7.2,29.5
2009-07-31,Admiralty,0,na,na,na,28.8,32.8,24.9,6.2,29.5
2009-08-01,Admiralty,0,na,na,na,28.9,31.7,26.5,6.5,28.8
2009-08-02,Admiralty,0,na,na,na,29.2,32.4,27,6.4,29.9
2009-08-03,Admiralty,0,na,na,na,29.2,32.9,26.8,7.1,31.3
2009-08-04,Admiralty,0,na,na,na,29.3,33,27,6.5,27.4
2009-08-05,Admiralty,1.2,na,na,na,28.1,30.9,26.6,6.1,40.3
2009-08-06,Admiralty,0,na,na,na,29.4,33.6,24.4,5.7,29.2
2009-08-07,Admiralty,0,na,na,na,29,32.3,27,6.4,40.7
2009-08-08,Admiralty,0,na,na,na,29,32.5,25.6,6.3,29.5
2009-08-09,Admiralty,0.2,na,na,na,29.3,33.1,27.4,7,27.7
2009-08-10,Admiralty,0,na,na,na,26.9,30.1,23.7,6.9,50.4
2009-08-11,Admiralty,0.4,na,na,na,28.9,33.2,26.2,6.2,25.9
2009-08-12,Admiralty,0,na,na,na,29.3,33,27.3,9.8,36.4
2009-08-13,Admiralty,0,na,na,na,29.7,33.6,27.4,8.7,33.5
2009-08-14,Admiralty,0,na,na,na,28.9,33,26.1,7.8,38.5
2009-08-15,Admiralty,2.8,na,na,na,26.8,30.6,25.4,5.6,43.6
2009-08-16,Admiralty,3.6,na,na,na,27.7,33.1,25.1,5.7,33.1
2009-08-17,Admiralty,8.4,na,na,na,27.1,30.7,24.9,4.5,33.1
2009-08-18,Admiralty,0,na,na,na,28.8,33.1,25.4,8.4,37.4
2009-08-19,Admiralty,0,na,na,na,29.1,33,26,6.3,27.7
2009-08-20,Admiralty,3,na,na,na,27.5,32.7,23.3,6.3,43.9
2009-08-21,Admiralty,0.6,na,na,na,26.6,30.7,23.7,4.8,38.9
2009-08-22,Admiralty,8.2,na,na,na,28.8,33.3,24.7,5.9,26.3
2009-08-23,Admiralty,0,na,na,na,26.3,29.6,23.2,7,38.2
2009-08-24,Admiralty,16.2,na,na,na,27.7,31,24.3,9.7,43.9
2009-08-25,Admiralty,0,na,na,na,27.5,31.4,22.7,10.4,47.5
2009-08-26,Admiralty,0.4,na,na,na,27.5,31.4,24.4,5.2,39.6
2009-08-27,Admiralty,37,na,na,na,26.2,28.2,23.6,9.8,33.1
2009-08-28,Admiralty,0,na,na,na,26.7,30.6,23.2,11.4,48.6
2009-08-29,Admiralty,0,na,na,na,28.9,32.5,26.2,6.7,30.2
2009-08-30,Admiralty,7.8,na,na,na,26.2,28.3,24.1,7,47.5
2009-08-31,Admiralty,0.4,na,na,na,27.5,31.6,25.2,5.4,24.8
2009-09-01,Admiralty,24,na,na,na,25.3,29.9,23.5,9.5,49
2009-09-02,Admiralty,0,na,na,na,27.8,32.6,23.8,5,24.5
2009-09-03,Admiralty,1.4,na,na,na,28.9,32.7,26.5,7.1,29.9
2009-09-04,Admiralty,4,na,na,na,28.5,31.2,26.2,5.4,29.2
2009-09-05,Admiralty,0,na,na,na,28.3,32.1,24.9,7.7,41.4
2009-09-06,Admiralty,1,na,na,na,26.6,28,24.4,5,40.7
2009-09-07,Admiralty,0,na,na,na,28.5,31.8,25.9,6,25.9
2009-09-08,Admiralty,0,na,na,na,29.1,31.9,27.4,5.1,20.9
2009-09-09,Admiralty,0,na,na,na,29.8,33.4,27.7,5.6,31.3
2009-09-10,Admiralty,3.4,na,na,na,29.2,32.6,26.1,5.7,30.2
2009-09-11,Admiralty,4.6,na,na,na,27.4,31.3,26,4.7,27.4
2009-09-12,Admiralty,0,na,na,na,29.2,33.3,26,6.3,30.6
2009-09-13,Admiralty,3.8,na,na,na,29.3,33.3,26.6,7,46.8
2009-09-14,Admiralty,0,na,na,na,29.5,34.1,25.8,6.1,24.5
2009-09-15,Admiralty,0,na,na,na,29.5,33.2,26.9,5.3,30.2
2009-09-16,Admiralty,8.2,na,na,na,28.9,34.3,24.9,6,37.1
2009-09-17,Admiralty,0,na,na,na,27.3,30.1,26.1,7.3,30.2
2009-09-18,Admiralty,8.2,na,na,na,26.1,29.4,23.1,4.7,39.2
2009-09-19,Admiralty,5.4,na,na,na,25.8,28.4,23.5,5.6,31.3
2009-09-20,Admiralty,0,na,na,na,28.6,33.1,25,5,29.9
2009-09-21,Admiralty,0.2,na,na,na,27.6,32.9,24.8,6.6,28.1
2009-09-22,Admiralty,0,na,na,na,27.5,30.9,24.8,6.6,32.8
2009-09-23,Admiralty,0.2,na,na,na,28.5,32,25.4,6.3,31.3
2009-09-24,Admiralty,1,na,na,na,27.5,31.2,23.5,8.7,54.4
2009-09-25,Admiralty,0,na,na,na,29,32.5,26.1,7.1,33.5
2009-09-26,Admiralty,0,na,na,na,29.6,33.1,25.9,6.9,35.6
2009-09-27,Admiralty,0,na,na,na,29.3,32.9,27.1,6.2,28.8
2009-09-28,Admiralty,0,na,na,na,29.7,33.5,27.4,5.9,33.1
2009-09-29,Admiralty,1.8,na,na,na,28.5,31.2,25.3,11.4,44.6
2009-09-30,Admiralty,0.4,na,na,na,28.8,32.6,24.3,7.1,40
2009-10-01,Admiralty,0,na,na,na,27.8,29.7,25.2,7.6,42.8
2009-10-02,Admiralty,0,na,na,na,28.7,33.5,26.4,7,33.1
2009-10-03,Admiralty,2.6,na,na,na,26.8,31.5,24.8,7.3,55.8
2009-10-04,Admiralty,0,na,na,na,27.4,32.4,24.4,7.8,40
2009-10-05,Admiralty,0.6,na,na,na,27.5,30.4,25.5,9.2,43.9
2009-10-06,Admiralty,0,na,na,na,27.7,29.9,24.1,7.5,41.4
2009-10-07,Admiralty,0,na,na,na,29,33.2,24.7,5.3,37.4
2009-10-08,Admiralty,16.6,na,na,na,26.8,30.6,22.2,5.7,50.8
2009-10-09,Admiralty,0,na,na,na,29.2,33.4,25.1,6,32.4
2009-10-10,Admiralty,12.8,na,na,na,27.9,31.6,24,5.5,59.4
2009-10-11,Admiralty,0,na,na,na,29.5,33.2,26.2,6.2,29.9
2009-10-12,Admiralty,3.2,na,na,na,27.4,31.4,25.5,6.2,37.8
2009-10-13,Admiralty,0,na,na,na,27.6,31.5,25.3,6.2,28.4
2009-10-14,Admiralty,2.4,na,na,na,27.1,31.4,25.3,4.9,33.8
2009-10-15,Admiralty,21.6,na,na,na,26.7,32.9,23.6,4.7,43.9
2009-10-16,Admiralty,13.4,na,na,na,27.8,32.3,22.9,5.8,47.5
2009-10-17,Admiralty,0,na,na,na,28.9,33.8,25.7,6.7,27.4
2009-10-18,Admiralty,0,na,na,na,29,33.1,26.1,7.1,31.7
2009-10-19,Admiralty,0,na,na,na,29.6,34.3,26,5.4,25.9
2009-10-20,Admiralty,0,na,na,na,29.2,33.1,26.7,5.7,33.8
2009-10-21,Admiralty,0,na,na,na,28.6,32.2,25.6,8.2,31.7
2009-10-22,Admiralty,0.6,na,na,na,28.2,30.8,25.9,5.5,22.3
2009-10-23,Admiralty,30.4,na,na,na,27.4,32.4,24.3,6.2,32.4
2009-10-24,Admiralty,0,na,na,na,28.8,33.5,25.5,5.9,25.6
2009-10-25,Admiralty,3.8,na,na,na,27.6,31.1,24.7,8,38.2
2009-10-26,Admiralty,0,na,na,na,28.5,33,24.9,6.8,28.4
2009-10-27,Admiralty,0,na,na,na,28,31.4,25.5,6.4,35.3
2009-10-28,Admiralty,1,na,na,na,26.9,31.8,25.1,5,19.4
2009-10-29,Admiralty,0,na,na,na,27.3,31.4,24.6,7.9,27.4
2009-10-30,Admiralty,49.4,na,na,na,27.5,32.1,25.3,5.6,38.2
2009-10-31,Admiralty,1.6,na,na,na,26.3,31.5,22.8,7,45.4
2009-11-01,Admiralty,0,na,na,na,27.7,33,25.1,6.6,30.2
2009-11-02,Admiralty,19.6,na,na,na,27.2,32.9,24.4,5.1,29.2
2009-11-03,Admiralty,0.2,na,na,na,27.9,34.9,25.2,6.1,40.7
2009-11-04,Admiralty,3.4,na,na,na,27.7,31.1,25.4,10.2,49
2009-11-05,Admiralty,66.4,na,na,na,25.8,31,23.8,6.6,38.5
2009-11-06,Admiralty,0,na,na,na,26.8,31.1,24.6,5.6,23
2009-11-07,Admiralty,0.2,na,na,na,27.6,33.1,24.6,6.1,25.2
2009-11-08,Admiralty,0,na,na,na,28.5,33.1,25.5,7.9,33.5
2009-11-09,Admiralty,0.2,na,na,na,26.7,28.8,25.5,6.5,28.1
2009-11-10,Admiralty,3.6,na,na,na,26.4,31.3,24.8,6.6,40.3
2009-11-11,Admiralty,0.2,na,na,na,27.6,32.6,24.5,6.3,45.4
2009-11-12,Admiralty,7,na,na,na,27.1,30.9,25.5,5.1,33.5
2009-11-13,Admiralty,13.2,na,na,na,25.6,29.9,23.9,7.1,32.4
2009-11-14,Admiralty,0,na,na,na,25.7,30,23.3,7,40.7
2009-11-15,Admiralty,4.4,na,na,na,26.7,32.5,24.1,7.3,35.3
2009-11-16,Admiralty,34,na,na,na,25.6,28.7,23.6,7.6,29.2
2009-11-17,Admiralty,0.2,na,na,na,27.2,33.1,23.6,8.2,33.1
2009-11-18,Admiralty,36.2,na,na,na,26.7,30.6,23,6.6,41.8
2009-11-19,Admiralty,71.4,na,na,na,25.3,30.6,23.6,8,50
2009-11-20,Admiralty,0,na,na,na,25.8,29.5,23.5,7.6,28.8
2009-11-21,Admiralty,1.2,na,na,na,26.7,31.9,24,9.5,49.3
2009-11-22,Admiralty,0,na,na,na,27.1,30.5,25.2,15.9,48.6
2009-11-23,Admiralty,0,na,na,na,26.8,28.9,25.1,10.9,38.2
2009-11-24,Admiralty,0,na,na,na,27.8,31.1,25.6,12,45
2009-11-25,Admiralty,0,na,na,na,28.3,32.9,25.4,9.6,43.6
2009-11-26,Admiralty,0,na,na,na,28,34.1,25,8.8,31.7
2009-11-27,Admiralty,10.4,na,na,na,27.6,32.9,24.5,8.9,51.1
2009-11-28,Admiralty,0.8,na,na,na,27.6,32.5,25.6,9,34.6
2009-11-29,Admiralty,0,na,na,na,26.7,29.4,24.9,11.1,43.2
2009-11-30,Admiralty,0,na,na,na,26.4,27.7,25.3,8.2,30.2
2009-12-01,Admiralty,0,na,na,na,27.6,31.3,24.8,7.6,33.5
2009-12-02,Admiralty,0,na,na,na,26.8,31,24.8,6.7,24.8
2009-12-03,Admiralty,0.4,na,na,na,26.4,28.1,25,7.3,23.8
2009-12-04,Admiralty,11.6,na,na,na,25.6,29.1,24.1,7.5,26.3
2009-12-05,Admiralty,18.6,na,na,na,25.4,28.7,24.3,6.1,27.4
2009-12-06,Admiralty,0.6,na,na,na,25.9,29.4,24.3,7.3,34.2
2009-12-07,Admiralty,10.6,na,na,na,26.6,30.1,24.1,10.2,48.6
2009-12-08,Admiralty,0,na,na,na,27.4,31.4,24.9,12.3,38.2
2009-12-09,Admiralty,0.2,na,na,na,27,30.6,25,10.2,37.4
